trace,expected_status,observed_status,expectation_matched,events,violation_codes
invalid_bad_memory_scope.json,rejected,rejected,True,1,memory_scope
invalid_budget_violation.json,rejected,rejected,True,3,insufficient_budget
invalid_certificate_source.json,rejected,rejected,True,1,certificate_source
invalid_duplicate_trace.json,rejected,rejected,True,2,duplicate_audit
invalid_handoff_violation.json,rejected,rejected,True,1,illegal_handoff
invalid_message_violation.json,rejected,rejected,True,1,illegal_message
invalid_missing_trace.json,rejected,rejected,True,1,missing_audit
invalid_payload_policy.json,rejected,rejected,True,1,payload_policy
invalid_shared_memory_overwrite.json,rejected,rejected,True,2,memory_overwrite
invalid_tool_permission.json,rejected,rejected,True,1,tool_permission
invalid_unauthorized_certifier.json,rejected,rejected,True,2,unauthorized_certifier
invalid_uncertified_answer.json,rejected,rejected,True,1,uncertified_claim
invalid_unknown_agent.json,rejected,rejected,True,1,unknown_agent
invalid_unknown_tool.json,rejected,rejected,True,1,unknown_tool
valid_claim_reuse_trace.json,accepted,accepted,True,7,
valid_langgraph_like_trace.json,accepted,accepted,True,7,
valid_memory_update_reuse_trace.json,accepted,accepted,True,6,
valid_research_swarm.json,accepted,accepted,True,7,
valid_two_source_research_swarm.json,accepted,accepted,True,9,
